iter	Passed	Remaining
0	2133	10665304
1	3981	9950000
2	5826	9705675
3	7462	9320261
4	8941	8932200
5	10457	8704232
6	12361	8817503
7	14277	8909132
8	15817	8771844
9	17677	8821300
10	19521	8853709
11	21163	8796820
12	22764	8732625
13	24603	8762454
14	26038	8653296
15	27523	8573532
16	29105	8531313
17	30899	8552417
18	32602	8547131
19	34425	8572011
20	36495	8652855
21	38272	8660114
22	40257	8711324
23	41960	8699711
24	43835	8723319
25	45909	8782779
26	47785	8801299
27	49753	8834761
28	51646	8852945
29	53604	8880403
30	55524	8900098
31	57370	8906747
32	59273	8921560
33	61054	8917504
34	63028	8941048
35	64922	8952141
36	66830	8964309
37	68590	8956435
38	70142	8922448
39	71678	8888084
40	73524	8892842
41	75136	8869627
42	76944	8870133
43	78639	8857694
44	80291	8841006
45	82191	8851624
46	84220	8875363
47	85919	8864023
48	87945	8886105
49	89789	8889194
50	91473	8876503
51	93356	8883197
52	95015	8868688
53	97215	8904194
54	99251	8923577
55	100845	8903230
56	102981	8930498
57	104773	8927426
58	106928	8954841
59	108730	8952105
60	110616	8956274
61	112445	8955712
62	114520	8974433
63	116451	8981345
64	118253	8978203
65	120309	8994060
66	122033	8984957
67	123918	8987732
68	125709	8983662
69	127589	8985949
70	129259	8973550
71	131029	8968213
72	132983	8975482
73	135083	8992209
74	137065	9000660
75	138784	8991761
76	140465	8980678
77	142281	8978316
78	144174	8980820
79	146119	8986342
80	148030	8989635
81	150110	9002952
82	152342	9024913
83	154119	9019651
84	156392	9043178
85	158476	9055300
86	160246	9049347
87	161919	9038040
88	164081	9054000
89	166258	9070335
90	168236	9075514
91	170175	9078489
92	172404	9096631
93	174626	9114011
94	176649	9120685
95	178488	9117767
96	180090	9102908
97	182040	9105724
98	183855	9101794
99	185686	9098626
100	187861	9112231
101	189834	9115768
102	191951	9126082
103	193955	9130823
104	195680	9122456
105	197969	9140222
106	199945	9143309
107	202004	9150051
108	203731	9141752
109	205569	9138476
110	207469	9137987
111	209211	9130590
112	210846	9118643
113	212504	9107887
114	214079	9093710
115	216285	9106345
116	218080	9101594
117	220193	9110022
118	221884	9101009
119	223935	9106707
120	225858	9107125
121	227763	9106795
122	229531	9101036
123	231446	9101069
124	233224	9095774
125	234688	9078340
126	236947	9091703
127	238963	9095540
128	240780	9091784
129	242679	9091134
130	244401	9083904
131	246183	9078965
132	248118	9079626
133	249807	9071375
134	251631	9068045
135	253178	9054843
136	254768	9043362
137	256967	9053446
138	258959	9056125
139	261082	9063276
140	263127	9067627
141	265059	9068008
142	266947	9066885
143	268941	9069310
144	270639	9061755
145	272369	9055347
146	274180	9051691
147	275953	9046784
148	277862	9046391
149	279785	9046399
150	281585	9042453
151	283593	9045131
152	285510	9044894
153	287183	9036943
154	289148	9038233
155	291133	9040077
156	292722	9029645
157	294604	9028310
158	296428	9025220
159	298231	9021517
160	299896	9013667
161	301669	9009124
162	303576	9008586
163	305263	9001549
164	307199	9001861
165	309261	9005840
166	310915	8997938
167	312584	8990534
168	314400	8987381
169	316264	8985623
170	318205	8986049
171	319774	8975988
172	321769	8977939
173	323785	8980395
174	325747	8981315
175	327586	8978835
176	329417	8976173
177	331466	8979387
178	333562	8983837
179	335606	8986804
180	337418	8983543
181	339157	8978345
182	340991	8975719
183	342480	8964051
184	344378	8963143
185	346321	8963401
186	348192	8961763
187	350019	8959020
188	351901	8957659
189	353607	8951845
190	355204	8943345
191	357292	8947192
192	359244	8947618
193	361289	8950301
194	363315	8952466
195	365315	8953949
196	367335	8955908
