feature,importance
num__past_segment_hourofweek_count,1.604747341907904
num__past_road_class_positive_count,0.5723865578158936
num__past_segment_positive_count,0.38684976677681915
num__past_segment_positive_count_30d,0.26060606787072205
num__hour,0.14115254094076563
num__is_night,0.07738994846197118
num__hour_of_week,0.0659640418738945
cat__road_class_primary,0.057812053108409464
cat__road_class_secondary,0.04537059004719824
cat__road_class_residential,0.04269120181331634
cat__road_class_motorway,0.04264072671022313
cat__road_class_motorway_link,0.04240600265469787
num__past_segment_positive_count_7d,0.02722459015728491
cat__road_class_trunk,0.026951317020263064
num__weekday,0.026846210692976314
cat__road_class_tertiary,0.025498189305544382
num__month,0.024698374174432422
num__segment_length_m,0.020992609339970172
cat__oneway_F,0.02008756234094305
num__weather_prcp,0.015675975076711212
cat__road_class_service,0.015330097870432774
cat__oneway_B,0.008998800303303087
num__weather_dwpt,0.008539341359710035
num__weather_pres,0.00850049277174636
num__weather_rhum,0.006952910489108847
cat__bridge_F,0.006670527265608698
num__weather_temp,0.00627276136607166
num__weather_wdir,0.005275620571437744
cat__road_class_footway,0.004324282345076347
cat__road_class_unclassified,0.004075374096608669
num__weather_wspd,0.002819138342848742
cat__bridge_T,0.0013727717598564049
num__is_weekend,0.0013534712735297982
cat__road_class_primary_link,0.0008075888632972842
cat__road_class_secondary_link,0.00040621197435445207
cat__road_class_trunk_link,0.000344300597748277
cat__road_class_busway,0.0001897680187042497
cat__road_class_tertiary_link,0.00017365750548524236
cat__road_class_track_grade1,5.748673732161146e-05
cat__road_class_pedestrian,4.2621126119735895e-05
cat__road_class_cycleway,1.9403627528633112e-05
cat__oneway_T,5.786282784572064e-07
cat__road_class_living_street,0.0
cat__road_class_track_grade3,0.0
cat__road_class_track,0.0
cat__tunnel_F,0.0
cat__tunnel_T,0.0
